id,name
1,"康納的通訊終端"
2,"擋風玻璃"
3,"波比的手錶"
4,"奇形樹之蜜"
5,"傳說雷達"
6,"惡臭傳說雷達"
7,"一塊麵包"
8,"深藍寶石"
9,"大龍蝦"
10,"龍蝦寶寶"
11,"餐館的餐券"
12,"茲斯豚的骨頭"
13,"瑪儂打獵工具組"
14,"布拉塔蟲卡片<銅>"
15,"瓦薩爾蟲卡片<銅>"
16,"亞勒聶蛛卡片<銅>"
17,"希米兀猿卡片<銀>"
18,"仕托鷺卡片<銀>"
19,"盧梅戴爾卡片<銀>"
20,"芙里姆花蟲卡片<銀>"
21,"諾彭希波獸卡片<金>"
22,""
23,"天然珍珠"
24,""
25,""
26,""
27,""
28,""
29,""
30,""
31,""
32,"白色黃金原石"
33,"布利古茲的鑰匙"
34,"弗斯戴克的鑰匙"
35,"莫亞豪斯的鑰匙"
36,""
37,""
38,""
39,"庫耶格的筆記"
40,""
41,""
42,"鑰匙卡"
43,""
44,""
45,""
46,""
47,"亞裘厄的ID卡"
48,""
49,""
50,""
51,"凍蛋糕"
52,"瑪魯特圖的藥瓶"
53,""
54,""
55,"諾彭契約書"
56,""
57,"諾彭原石"
58,""
59,""
60,""
61,"畢‧歇札的手鐲"
62,"蓋‧吉尤的小刀"
63,""
64,""
65,"指環石"
66,""
67,""
68,"扎扎詹的包裹"
69,"危險物品收納膠囊"
70,"危險的燃料電池"
71,"尼歐的借據"
72,"藍色寶石戒指"
73,""
74,""
75,""
76,""
77,""
78,""
79,""
80,""
81,""
82,"盧梅諾亞香草"
83,"格魯夸"
84,"倫歐特南姆的右臂"
85,""
86,""
87,"特洛伊朗的格魯夸"
88,""
89,""
90,"白鯨零件"
91,""
92,""
93,""
94,"伊昂的ID卡"
95,"給娜魯的禮物"
96,"父親的墨鏡"
97,"咚咚可簽名文件"
98,"多利安簽名文件"
99,"拉斯製零件"
100,"醫療用品套組"
101,"收容所的鑰匙"
102,""
103,"機偶駕駛執照"
104,""
105,""
106,""
